"","ligand_cl","receptor_cl","lr_id","ligand_exp","receptor_exp","int_exp","id","ligand_symbol","receptor_symbol"
"535694","TRAM","Mast_cells",637,0.667053364269142,0.333333333333333,0.333333333333333,"TRAM->Mast_cells/637","Fn1","Cd79a"
"536941","TRAM","Endo_2",639,0.667053364269142,0.126582278481013,0.126582278481013,"TRAM->Endo_2/639","Fn1","Flt4"
"537869","TRAM","AT2_Retnla",640,0.667053364269142,0.136125654450262,0.136125654450262,"TRAM->AT2_Retnla/640","Fn1","Il17rc"
"538159","TRAM","Smooth_muscle_cells",640,0.667053364269142,0.260869565217391,0.260869565217391,"TRAM->Smooth_muscle_cells/640","Fn1","Il17rc"
"539957","TRAM","AT2",643,0.667053364269142,0.119648093841642,0.119648093841642,"TRAM->AT2/643","Fn1","Itga3"
"540218","TRAM","Endo_1",643,0.667053364269142,0.159090909090909,0.159090909090909,"TRAM->Endo_1/643","Fn1","Itga3"
"540247","TRAM","Club_cells",643,0.667053364269142,0.126984126984127,0.126984126984127,"TRAM->Club_cells/643","Fn1","Itga3"
"540392","TRAM","AT2_Retnla",643,0.667053364269142,0.146596858638743,0.146596858638743,"TRAM->AT2_Retnla/643","Fn1","Itga3"
"540682","TRAM","Smooth_muscle_cells",643,0.667053364269142,0.217391304347826,0.217391304347826,"TRAM->Smooth_muscle_cells/643","Fn1","Itga3"
"541262","TRAM","ILC",644,0.667053364269142,0.141414141414141,0.141414141414141,"TRAM->ILC/644","Fn1","Itga4"
"541378","TRAM","Fibroblasts",644,0.667053364269142,0.125,0.125,"TRAM->Fibroblasts/644","Fn1","Itga4"
"541494","TRAM","Proliferating_DC",644,0.667053364269142,0.291666666666667,0.291666666666667,"TRAM->Proliferating_DC/644","Fn1","Itga4"
"541552","TRAM","Lymphatics",644,0.667053364269142,0.2,0.2,"TRAM->Lymphatics/644","Fn1","Itga4"
"542016","TRAM","MoAM",645,0.667053364269142,0.233606557377049,0.233606557377049,"TRAM->MoAM/645","Fn1","Itga5"
"542219","TRAM","Fibroblasts",645,0.667053364269142,0.125,0.125,"TRAM->Fibroblasts/645","Fn1","Itga5"
"542335","TRAM","Proliferating_DC",645,0.667053364269142,0.125,0.125,"TRAM->Proliferating_DC/645","Fn1","Itga5"
"542364","TRAM","Smooth_muscle_cells",645,0.667053364269142,0.347826086956522,0.347826086956522,"TRAM->Smooth_muscle_cells/645","Fn1","Itga5"
"542393","TRAM","Lymphatics",645,0.667053364269142,0.2,0.2,"TRAM->Lymphatics/645","Fn1","Itga5"
"542480","TRAM","AT2",646,0.667053364269142,0.149560117302053,0.149560117302053,"TRAM->AT2/646","Fn1","Itga6"
"542770","TRAM","Club_cells",646,0.667053364269142,0.137566137566138,0.137566137566138,"TRAM->Club_cells/646","Fn1","Itga6"
"542886","TRAM","Ciliated_cells",646,0.667053364269142,0.192660550458716,0.192660550458716,"TRAM->Ciliated_cells/646","Fn1","Itga6"
"542915","TRAM","AT2_Retnla",646,0.667053364269142,0.167539267015707,0.167539267015707,"TRAM->AT2_Retnla/646","Fn1","Itga6"
"543031","TRAM","Tregs",646,0.667053364269142,0.104651162790698,0.104651162790698,"TRAM->Tregs/646","Fn1","Itga6"
"544597","TRAM","AT2_Retnla",648,0.667053364269142,0.356020942408377,0.356020942408377,"TRAM->AT2_Retnla/648","Fn1","Itga9"
"545293","TRAM","Club_cells",649,0.667053364269142,0.105820105820106,0.105820105820106,"TRAM->Club_cells/649","Fn1","Itgav"
"545380","TRAM","MoAM",649,0.667053364269142,0.192622950819672,0.192622950819672,"TRAM->MoAM/649","Fn1","Itgav"
"545409","TRAM","Ciliated_cells",649,0.667053364269142,0.110091743119266,0.110091743119266,"TRAM->Ciliated_cells/649","Fn1","Itgav"
"545438","TRAM","AT2_Retnla",649,0.667053364269142,0.172774869109948,0.172774869109948,"TRAM->AT2_Retnla/649","Fn1","Itgav"
"545554","TRAM","Tregs",649,0.667053364269142,0.174418604651163,0.174418604651163,"TRAM->Tregs/649","Fn1","Itgav"
"545728","TRAM","Smooth_muscle_cells",649,0.667053364269142,0.173913043478261,0.173913043478261,"TRAM->Smooth_muscle_cells/649","Fn1","Itgav"
"547149","TRAM","ILC",651,0.667053364269142,0.121212121212121,0.121212121212121,"TRAM->ILC/651","Fn1","Itgb3"
"547439","TRAM","Lymphatics",651,0.667053364269142,0.2,0.2,"TRAM->Lymphatics/651","Fn1","Itgb3"
"548512","TRAM","Neutrophils",653,0.667053364269142,0.192771084337349,0.192771084337349,"TRAM->Neutrophils/653","Fn1","Itgb7"
"548715","TRAM","Endo_2",653,0.667053364269142,0.113924050632911,0.113924050632911,"TRAM->Endo_2/653","Fn1","Itgb7"
"548947","TRAM","Fibroblasts",653,0.667053364269142,0.107142857142857,0.107142857142857,"TRAM->Fibroblasts/653","Fn1","Itgb7"
"548976","TRAM","Ccr7_DC",653,0.667053364269142,0.156626506024096,0.156626506024096,"TRAM->Ccr7_DC/653","Fn1","Itgb7"
"549759","TRAM","Tregs",654,0.667053364269142,0.127906976744186,0.127906976744186,"TRAM->Tregs/654","Fn1","Itgb8"
"549788","TRAM","Fibroblasts",654,0.667053364269142,0.107142857142857,0.107142857142857,"TRAM->Fibroblasts/654","Fn1","Itgb8"
"551354","TRAM","ILC",656,0.667053364269142,0.151515151515152,0.151515151515152,"TRAM->ILC/656","Fn1","Nt5e"
"551441","TRAM","Tregs",656,0.667053364269142,0.209302325581395,0.209302325581395,"TRAM->Tregs/656","Fn1","Nt5e"
"552369","TRAM","Mesothelium",657,0.667053364269142,0.108108108108108,0.108108108108108,"TRAM->Mesothelium/657","Fn1","Plaur"
"552398","TRAM","AT1",657,0.667053364269142,0.147058823529412,0.147058823529412,"TRAM->AT1/657","Fn1","Plaur"
"552514","TRAM","Mast_cells",657,0.667053364269142,0.333333333333333,0.333333333333333,"TRAM->Mast_cells/657","Fn1","Plaur"
"642854","Endo_1","Club_cells",765,0.102272727272727,0.883597883597884,0.102272727272727,"Endo_1->Club_cells/765","Hbegf","Cd9"
"650868","Tregs","Smooth_muscle_cells",774,0.906976744186046,0.130434782608696,0.130434782608696,"Tregs->Smooth_muscle_cells/774","Hmgb1","Sdc1"
"651361","Tregs","MoAM",775,0.906976744186046,0.139344262295082,0.139344262295082,"Tregs->MoAM/775","Hmgb1","Thbd"
"651477","Tregs","Proliferating_TRAM",775,0.906976744186046,0.171428571428571,0.171428571428571,"Tregs->Proliferating_TRAM/775","Hmgb1","Thbd"
"651622","Tregs","Mesothelium",775,0.906976744186046,0.135135135135135,0.135135135135135,"Tregs->Mesothelium/775","Hmgb1","Thbd"
"651767","Tregs","Mast_cells",775,0.906976744186046,0.333333333333333,0.333333333333333,"Tregs->Mast_cells/775","Hmgb1","Thbd"
"654187","Non-classical_monocytes","Proliferating_DC",778,0.515086206896552,0.125,0.125,"Non-classical_monocytes->Proliferating_DC/778","Hp","Itgam"
"654361","Non-classical_monocytes","B_cells",779,0.515086206896552,0.136363636363636,0.136363636363636,"Non-classical_monocytes->B_cells/779","Hp","Itgb2"
"654912","Non-classical_monocytes","Fibroblasts",779,0.515086206896552,0.107142857142857,0.107142857142857,"Non-classical_monocytes->Fibroblasts/779","Hp","Itgb2"
"654941","Non-classical_monocytes","Ccr7_DC",779,0.515086206896552,0.108433734939759,0.108433734939759,"Non-classical_monocytes->Ccr7_DC/779","Hp","Itgb2"
"654999","Non-classical_monocytes","AT1",779,0.515086206896552,0.176470588235294,0.176470588235294,"Non-classical_monocytes->AT1/779","Hp","Itgb2"
"655086","Non-classical_monocytes","Lymphatics",779,0.515086206896552,0.16,0.16,"Non-classical_monocytes->Lymphatics/779","Hp","Itgb2"
"660655","TRAM","AT2_Retnla",786,0.691415313225058,0.104712041884817,0.104712041884817,"TRAM->AT2_Retnla/786","Hsp90aa1","Cftr"
"662685","TRAM","Mast_cells",788,0.691415313225058,0.333333333333333,0.333333333333333,"TRAM->Mast_cells/788","Hsp90aa1","Fgfr3"
"686813","TRAM","pDC",817,0.32830626450116,0.104166666666667,0.104166666666667,"TRAM->pDC/817","Igf1","Igf1r"
"687045","TRAM","Lymphatics",817,0.32830626450116,0.4,0.32830626450116,"TRAM->Lymphatics/817","Igf1","Igf1r"
"687103","TRAM","Classical_monocytes",818,0.32830626450116,0.103658536585366,0.103658536585366,"TRAM->Classical_monocytes/818","Igf1","Insr"
